A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
5070,157,,39546.0,Apr_24_2020,4917.0,153,3.11,45,4.67,984,24.08,4645,1092.94,41,35.34,149,1862.5,0.1,0.0,states,102.3,3.17,2020-04-24,South Carolina,
8052,270,477.0,92532.0,Apr_24_2020,8052.0,444,5.84,37,6.72,2193,37.43,7490,1332.74,111,69.81,269,26900.0,0.08,0.0,states,79.29,2.66,2020-04-24,North Carolina,
11595,413,1399.0,57846.0,Apr_24_2020,11594.0,596,5.42,51,10.13,4103,54.77,11205,2873.08,175,73.53,404,4488.89,0.14,0.0,states,137.81,4.91,2020-04-24,Virginia,
2040,10,61.0,12784.0,Apr_24_2020,2040.0,84,4.29,46,11.11,629,44.58,1999,4875.61,3,42.86,9,900.0,0.24,0.0,states,236.03,1.16,2020-04-24,South Dakota,
39658,1804,4828.0,149974.0,Apr_24_2020,39658.0,2723,7.37,17,6.37,12083,43.82,37784,2016.22,662,57.97,1783,8490.48,0.31,0.01,states,309.31,14.07,2020-04-24,Illinois,
36628,3084,3022.0,123054.0,Apr_24_2020,42730.0,1375,3.9,26,3.59,6674,22.28,34335,1497.38,857,38.48,3041,7072.09,0.37,0.03,states,367.84,30.97,2020-04-24,Michigan,
4459,107,278.0,27528.0,Apr_24_2020,4445.0,520,13.2,19,11.46,2127,91.21,4312,2933.33,43,67.19,106,10600.0,0.14,0.0,states,142.35,3.42,2020-04-24,Iowa,
3120,188,310.0,43019.0,Apr_24_2020,3121.0,103,3.41,40,5.03,655,26.57,2956,1802.44,52,38.24,183,3660.0,0.08,0.0,states,79.63,4.8,2020-04-24,Oklahoma,
2474,50,,16488.0,Apr_24_2020,2124.0,284,12.97,31,8.7,1258,103.45,2390,2845.24,26,108.33,50,,0.13,0.0,states,129.89,2.63,2020-04-24,Nebraska,
827,43,32.0,12808.0,Apr_24_2020,843.0,2,0.24,50,2.38,48,6.16,704,572.36,9,26.47,35,437.5,0.13,0.01,states,132.32,6.88,2020-04-24,Vermont,
1010,32,97.0,28823.0,Apr_24_2020,988.0,29,2.96,54,3.23,234,30.15,959,1880.39,16,100.0,32,,0.06,0.0,states,55.22,1.75,2020-04-24,West Virginia,
30525,1045,,286785.0,Apr_24_2020,30174.0,885,2.99,12,5.98,5780,23.36,28554,1448.71,320,44.14,1022,4443.48,0.15,0.01,states,148.19,5.07,2020-04-24,Florida,
5356,262,361.0,54573.0,Apr_24_2020,6364.0,304,6.02,55,1.95,1311,32.41,4733,759.71,57,27.8,255,3642.86,0.09,0.0,states,92.69,4.53,2020-04-24,Wisconsin,
2810,47,101.0,32837.0,Apr_24_2020,2741.0,211,8.12,05,4.44,1115,65.78,2503,815.31,10,27.03,45,2250.0,0.09,0.0,states,93.96,1.57,2020-04-24,Arkansas,
26199,1660,1697.0,111972.0,Apr_24_2020,26140.0,401,1.55,22,3.81,3081,13.33,24404,1359.55,447,36.85,1595,2453.85,0.56,0.04,states,561.77,35.59,2020-04-24,Louisiana,
50969,2556,3847.0,164244.0,Apr_24_2020,50969.0,4946,10.75,25,8.31,16567,48.16,49131,2673.07,1152,82.05,2541,16940.0,0.75,0.04,states,746.23,37.42,2020-04-24,Massachusetts,
3442,100,277.0,13937.0,Apr_24_2020,3442.0,134,4.05,10,8.7,1119,48.17,3323,2792.44,39,63.93,100,,0.36,0.01,states,362.51,10.53,2020-04-24,Delaware,
102196,5617,6847.0,103766.0,Apr_24_2020,102196.0,2207,2.21,34,4.64,23729,30.24,97794,2221.58,1777,46.28,5555,8959.68,1.15,0.06,states,1150.62,63.24,2020-04-24,New Jersey,
2177,86,258.0,43315.0,Apr_24_2020,2177.0,50,2.35,41,3.61,392,21.96,1911,718.42,16,22.86,76,760.0,0.05,0.0,states,53.33,2.11,2020-04-24,Oregon,
3779,203,302.0,39363.0,Apr_24_2020,3481.0,231,6.51,21,4.64,1257,49.84,3581,1808.59,63,45.0,198,3960.0,0.09,0.0,states,85.11,4.57,2020-04-24,Kentucky,
3528,153,402.0,13005.0,Apr_24_2020,3528.0,167,4.97,11,10.07,1052,42.49,3345,1827.87,67,77.91,151,7550.0,0.52,0.02,states,515.41,22.35,2020-04-24,District of Columbia,
13848,851,,61873.0,Apr_24_2020,13680.0,652,4.94,18,4.93,3613,35.3,13364,2761.16,252,42.07,832,4378.95,0.21,0.01,states,208.64,12.82,2020-04-24,Indiana,
276218,20759,14258.0,459066.0,Apr_24_2020,271590.0,8286,3.09,36,2.71,42925,18.4,243101,734.07,4286,26.02,20378,5348.56,1.41,0.11,states,1407.95,105.81,2020-04-24,New York,
2524,84,123.0,44184.0,Apr_24_2020,2379.0,145,6.09,35,7.69,813,47.52,2411,2133.63,33,64.71,83,8300.0,0.12,0.0,states,120.63,4.01,2020-04-24,New Mexico,
12255,672,1084.0,41062.0,Apr_24_2020,11262.0,993,8.82,08,20.65,3208,35.46,11169,1028.45,283,72.75,653,3436.84,0.22,0.01,states,221.56,12.15,2020-04-24,Colorado,
997,6,2.0,1233.0,Apr_24_2020,141.0,18,1.84,66,0.0,201,25.25,965,3015.62,0,0.0,5,500.0,,,states,,,2020-04-24,Guam,
15169,690,,92528.0,Apr_24_2020,15169.0,475,3.23,39,5.18,6062,66.56,14462,2045.54,272,65.07,679,6172.73,0.13,0.01,states,130.3,5.93,2020-04-24,Ohio,
16693,798,1425.0,68100.0,Apr_24_2020,16616.0,888,5.62,24,6.68,5052,43.4,16270,3846.34,304,61.54,794,19850.0,0.28,0.01,states,278.06,13.29,2020-04-24,Maryland,
14,2,,51.0,Apr_24_2020,14.0,0,0.0,69,0.0,0,0.0,0,,0,0.0,0,,,,states,,,2020-04-24,Northern Mariana Islands,
3185,221,278.0,54706.0,Apr_24_2020,4788.0,243,8.26,27,10.5,1114,53.79,2896,1002.08,110,99.1,220,22000.0,0.06,0.0,states,57.62,4.0,2020-04-24,Minnesota,
1276,77,172.0,9313.0,Apr_24_2020,1276.0,46,3.74,72,11.59,208,19.48,1225,2401.96,19,32.76,75,3750.0,0.04,0.0,states,37.67,2.27,2020-04-24,Puerto Rico,
473,7,16.0,7696.0,Apr_24_2020,349.0,20,4.42,56,0.0,72,17.96,424,865.31,5,250.0,7,,0.08,0.0,states,81.29,1.2,2020-04-24,Wyoming,
21575,889,,85029.0,Apr_24_2020,22147.0,670,3.2,13,2.07,4917,29.52,20190,1457.76,228,34.49,842,1791.49,0.21,0.01,states,209.52,8.63,2020-04-24,Georgia,
55,3,,642.0,Apr_24_2020,54.0,1,1.85,78,0.0,2,3.77,38,223.53,0,0.0,3,,,,states,,,2020-04-24,Virgin Islands,
748,15,17.0,16701.0,Apr_24_2020,748.0,39,5.5,38,0.0,309,70.39,703,1562.22,6,66.67,15,,0.1,0.0,states,99.44,1.99,2020-04-24,North Dakota,
40298,1786,2746.0,147491.0,Apr_24_2020,38652.0,1964,5.12,42,3.66,10177,33.79,39147,3401.13,759,73.9,1774,14783.33,0.32,0.01,states,315.05,13.96,2020-04-24,Pennsylvania,
965,47,39.0,16784.0,Apr_24_2020,965.0,28,2.99,23,6.82,138,16.69,823,579.58,18,62.07,47,,0.07,0.0,states,72.4,3.53,2020-04-24,Maine,
595,13,,26291.0,Apr_24_2020,596.0,5,0.85,15,8.33,48,8.78,500,526.32,4,44.44,13,,0.04,0.0,states,41.84,0.91,2020-04-24,Hawaii,
6026,209,429.0,46863.0,Apr_24_2020,5832.0,194,3.33,01,6.09,1454,31.8,5640,1461.14,58,38.41,208,20800.0,0.12,0.0,states,123.87,4.3,2020-04-24,Alabama,
3950,41,,86258.0,Apr_25_2020,3948.0,168,4.44,49,5.13,1008,34.26,3548,882.59,16,64.0,40,4000.0,0.13,0.0,states,129.71,1.35,2020-04-25,Utah,
5718,221,649.0,53239.0,Apr_25_2020,5718.0,284,5.23,28,5.74,1744,43.89,5232,1076.54,69,45.39,215,3583.33,0.19,0.01,states,191.32,7.39,2020-04-25,Mississippi,
4539,206,,32669.0,Apr_25_2020,4539.0,141,3.21,32,1.48,913,25.18,4004,748.41,51,32.9,196,1960.0,0.16,0.01,states,155.29,7.05,2020-04-25,Nevada,
7129,215,263.0,40860.0,Apr_25_2020,7493.0,430,6.42,44,6.44,2638,58.74,6964,4220.61,78,56.93,215,,0.67,0.02,states,674.7,20.35,2020-04-25,Rhode Island,
42590,1692,4847.0,464898.0,Apr_25_2020,41137.0,1222,2.95,06,4.51,11761,38.15,38530,949.01,546,47.64,1609,1938.55,0.11,0.0,states,108.79,4.32,2020-04-25,California,
24494,662,1597.0,239043.0,Apr_25_2020,23773.0,844,3.57,48,5.92,5567,29.41,22952,1488.46,175,35.93,641,3052.38,0.09,0.0,states,87.84,2.37,2020-04-25,Texas,
24582,1862,1810.0,53020.0,Apr_25_2020,24582.0,661,2.76,09,5.56,7032,40.07,23570,2329.05,776,71.45,1841,8766.67,0.69,0.05,states,686.36,51.99,2020-04-25,Connecticut,
337,7,32.0,15393.0,Apr_25_2020,339.0,0,0.0,02,0.0,25,8.01,268,388.41,0,0.0,7,,0.05,0.0,states,45.63,0.95,2020-04-25,Alaska,
3905,208,303.0,41183.0,Apr_25_2020,3779.0,126,3.33,21,2.46,1198,44.26,3657,1474.6,63,43.45,203,4060.0,0.09,0.0,states,87.95,4.68,2020-04-25,Kentucky,
1887,56,35.0,17611.0,Apr_25_2020,1870.0,17,0.91,16,3.7,219,13.13,1698,898.41,12,27.27,53,1766.67,0.11,0.0,states,111.8,3.32,2020-04-25,Idaho,
1793,60,89.0,16007.0,Apr_25_2020,1720.0,73,4.24,33,13.21,451,33.61,1635,1034.81,22,57.89,59,5900.0,0.13,0.0,states,133.45,4.47,2020-04-25,New Hampshire,
8918,179,510.0,132217.0,Apr_25_2020,9189.0,300,3.48,47,4.07,2294,34.63,7937,809.07,31,20.95,176,5866.67,0.13,0.0,states,134.08,2.69,2020-04-25,Tennessee,
445,14,11.0,12052.0,Apr_25_2020,445.0,1,0.23,30,0.0,19,4.46,355,394.44,4,40.0,14,,0.04,0.0,states,42.72,1.34,2020-04-25,Montana,
13565,743,455.0,168153.0,Apr_25_2020,15110.0,368,2.79,53,1.64,1715,14.47,10357,322.85,114,18.12,591,388.82,0.19,0.01,states,185.97,10.19,2020-04-25,Washington,
105523,5863,6722.0,108163.0,Apr_25_2020,105523.0,3327,3.26,34,4.38,24103,29.6,98647,1434.66,1793,44.05,5781,7050.0,1.19,0.07,states,1188.08,66.01,2020-04-25,New Jersey,
6280,275,697.0,56228.0,Apr_25_2020,6280.0,235,3.89,04,2.61,1561,33.08,5772,1136.22,94,51.93,267,3337.5,0.09,0.0,states,90.4,3.96,2020-04-25,Arizona,
3091,119,,22143.0,Apr_25_2020,3056.0,249,8.76,20,1.71,1271,69.84,2918,1686.71,33,38.37,116,3866.67,0.11,0.0,states,106.26,4.09,2020-04-25,Kansas,
5253,166,,43761.0,Apr_25_2020,5253.0,183,3.61,45,5.73,1007,23.72,4797,1051.97,47,39.5,157,1744.44,0.11,0.0,states,105.99,3.35,2020-04-25,South Carolina,
8548,304,456.0,96642.0,Apr_25_2020,8623.0,496,6.16,37,12.59,2408,39.22,7909,1237.72,129,73.71,302,15100.0,0.08,0.0,states,84.17,2.99,2020-04-25,North Carolina,
12365,436,1405.0,60276.0,Apr_25_2020,12366.0,770,6.64,51,5.57,4312,53.55,11762,1950.58,178,68.99,422,3014.29,0.15,0.01,states,146.96,5.18,2020-04-25,Virginia,
2147,10,61.0,13449.0,Apr_25_2020,2147.0,107,5.25,46,0.0,606,39.33,2101,4567.39,3,42.86,9,900.0,0.25,0.0,states,248.41,1.16,2020-04-25,South Dakota,
37302,3273,2889.0,128955.0,Apr_25_2020,43263.0,674,1.84,26,6.13,6584,21.43,34425,1196.56,966,41.87,3210,5095.24,0.37,0.03,states,374.61,32.87,2020-04-25,Michigan,
5109,112,293.0,29258.0,Apr_25_2020,5092.0,650,14.58,19,4.67,2596,103.3,4930,2754.19,38,51.35,111,11100.0,0.16,0.0,states,163.1,3.58,2020-04-25,Iowa,
41777,1884,4699.0,159840.0,Apr_25_2020,41777.0,2119,5.34,17,4.43,12617,43.27,39239,1546.06,612,48.11,1858,7146.15,0.33,0.01,states,325.84,14.69,2020-04-25,Illinois,
3193,194,306.0,49891.0,Apr_25_2020,3193.0,73,2.34,40,3.19,623,24.24,2945,1187.5,55,39.57,187,2671.43,0.08,0.0,states,81.49,4.95,2020-04-25,Oklahoma,
843,45,37.0,13270.0,Apr_25_2020,852.0,16,1.93,50,4.65,40,4.98,685,433.54,9,25.0,36,400.0,0.13,0.01,states,134.88,7.2,2020-04-25,Vermont,
2898,52,,17552.0,Apr_25_2020,2421.0,424,17.14,31,4.0,1550,114.99,2807,3084.62,24,85.71,52,,0.15,0.0,states,152.15,2.73,2020-04-25,Nebraska,
1025,33,97.0,31946.0,Apr_25_2020,1020.0,15,1.49,54,3.12,200,24.24,949,1248.68,15,83.33,33,,0.06,0.0,states,56.04,1.8,2020-04-25,West Virginia,
30831,1054,,302260.0,Apr_25_2020,30839.0,306,1.0,12,0.86,5347,20.98,28353,1144.19,307,41.1,1025,3534.48,0.15,0.01,states,149.68,5.12,2020-04-25,Florida,
5687,266,337.0,57138.0,Apr_25_2020,6715.0,331,6.18,55,1.53,1488,35.44,4933,654.24,54,25.47,256,2560.0,0.1,0.0,states,98.42,4.6,2020-04-25,Wisconsin,
2909,48,104.0,35224.0,Apr_25_2020,2829.0,99,3.52,05,2.13,1132,63.7,2559,731.14,10,26.32,45,1500.0,0.1,0.0,states,97.27,1.6,2020-04-25,Arkansas,
26571,1703,1700.0,112490.0,Apr_25_2020,26512.0,372,1.42,22,2.59,2991,12.68,24266,1052.75,436,34.41,1620,1951.81,0.57,0.04,states,569.75,36.52,2020-04-25,Louisiana,
53348,2730,3879.0,173497.0,Apr_25_2020,53348.0,2379,4.67,25,6.81,16976,46.67,50931,2107.2,1170,75.0,2705,10820.0,0.78,0.04,states,781.06,39.97,2020-04-25,Massachusetts,
3576,112,300.0,14122.0,Apr_25_2020,3576.0,134,3.89,10,12.0,1038,40.9,3433,2400.7,45,67.16,111,11100.0,0.38,0.01,states,376.62,11.8,2020-04-25,Delaware,
6826,280,850.0,60392.0,Apr_25_2020,6826.0,201,3.03,29,4.87,1309,23.73,6318,1243.7,86,44.33,272,3400.0,0.11,0.0,states,112.08,4.6,2020-04-25,Missouri,
990,50,39.0,16784.0,Apr_25_2020,990.0,25,2.59,23,6.38,143,16.88,835,538.71,18,56.25,50,,0.07,0.0,states,74.28,3.75,2020-04-25,Maine,
3699,165,402.0,13603.0,Apr_25_2020,3699.0,171,4.85,11,7.84,1033,38.75,3468,1501.3,74,81.32,162,5400.0,0.54,0.02,states,540.4,24.11,2020-04-25,District of Columbia,
14,2,,51.0,Apr_25_2020,14.0,0,0.0,69,0.0,0,0.0,0,,0,0.0,0,,,,states,,,2020-04-25,Northern Mariana Islands,
2253,87,261.0,45124.0,Apr_25_2020,2253.0,76,3.49,41,1.16,409,22.18,1937,612.97,15,20.83,76,690.91,0.06,0.0,states,55.19,2.13,2020-04-25,Oregon,
286901,21326,13524.0,495425.0,Apr_25_2020,282143.0,10683,3.87,36,2.73,46359,19.27,247843,634.55,4185,24.42,20824,4148.21,1.46,0.11,states,1462.4,108.7,2020-04-25,New York,
12967,670,1084.0,44533.0,Apr_25_2020,12256.0,712,5.81,08,-0.3,3534,37.46,11535,805.52,261,63.81,646,2691.67,0.23,0.01,states,234.44,12.11,2020-04-25,Colorado,
2662,93,152.0,48989.0,Apr_25_2020,2521.0,138,5.47,35,10.71,864,48.05,2526,1857.35,40,75.47,92,9200.0,0.13,0.0,states,127.22,4.44,2020-04-25,New Mexico,
3446,244,288.0,56982.0,Apr_25_2020,5127.0,261,8.19,27,10.41,1233,55.72,3100,895.95,123,101.65,242,12100.0,0.06,0.0,states,62.34,4.41,2020-04-25,Minnesota,
17844,875,1408.0,71357.0,Apr_25_2020,17766.0,1151,6.9,24,9.65,5465,44.15,17263,2971.26,341,63.86,871,21775.0,0.3,0.01,states,297.23,14.57,2020-04-25,Maryland,
997,6,2.0,1308.0,Apr_25_2020,141.0,0,0.0,66,0.0,192,23.85,948,1934.69,0,0.0,5,500.0,,,states,,,2020-04-25,Guam,
15587,711,,96396.0,Apr_25_2020,15587.0,418,2.76,39,3.04,5365,52.48,14720,1697.81,260,57.65,696,4640.0,0.13,0.01,states,133.89,6.11,2020-04-25,Ohio,
803,16,17.0,18547.0,Apr_25_2020,803.0,55,7.35,38,6.67,275,52.08,745,1284.48,7,77.78,16,,0.11,0.0,states,106.75,2.13,2020-04-25,North Dakota,
1307,83,137.0,9313.0,Apr_25_2020,1307.0,31,2.43,72,7.79,189,16.91,1243,1942.19,23,38.33,81,4050.0,0.04,0.0,states,38.59,2.45,2020-04-25,Puerto Rico,
477,7,16.0,7797.0,Apr_25_2020,349.0,4,0.85,56,0.0,65,15.78,421,751.79,5,250.0,7,,0.08,0.0,states,81.98,1.2,2020-04-25,Wyoming,
22225,897,,96319.0,Apr_25_2020,22695.0,650,3.01,13,0.9,5211,30.63,20584,1254.36,227,33.88,841,1501.79,0.22,0.01,states,215.83,8.71,2020-04-25,Georgia,
14567,897,1515.0,65379.0,Apr_25_2020,14395.0,719,5.19,18,5.41,3837,35.76,13906,2103.78,264,41.71,874,3800.0,0.22,0.01,states,219.47,13.51,2020-04-25,Indiana,
597,14,,27439.0,Apr_25_2020,601.0,2,0.34,15,7.69,29,5.11,491,463.21,5,55.56,14,,0.04,0.0,states,41.98,0.98,2020-04-25,Hawaii,
41626,1842,2748.0,152886.0,Apr_25_2020,40049.0,1328,3.3,42,3.14,9884,31.14,39936,2363.08,692,60.17,1826,11412.5,0.33,0.01,states,325.43,14.4,2020-04-25,Pennsylvania,
57,4,,693.0,Apr_25_2020,55.0,2,3.64,78,33.33,4,7.55,40,235.29,1,33.33,4,,,,states,,,2020-04-25,Virgin Islands,
6213,213,351.0,65207.0,Apr_25_2020,6137.0,187,3.1,01,1.91,1490,31.55,5675,1054.83,66,44.9,210,7000.0,0.13,0.0,states,127.72,4.38,2020-04-25,Alabama,
31520,1073,,313085.0,Apr_26_2020,31528.0,689,2.23,12,1.8,5214,19.82,28322,885.62,300,38.81,1027,2232.61,0.15,0.01,states,153.02,5.21,2020-04-26,Florida,
851,45,34.0,13518.0,Apr_26_2020,855.0,8,0.95,50,0.0,39,4.8,667,362.5,9,25.0,35,350.0,0.14,0.01,states,136.17,7.2,2020-04-26,Vermont,
12969,448,1436.0,63630.0,Apr_26_2020,12970.0,604,4.88,51,2.75,4433,51.93,12364,2043.64,171,61.73,434,3100.0,0.15,0.01,states,154.14,5.32,2020-04-26,Virginia,
3841,178,402.0,14227.0,Apr_26_2020,3841.0,142,3.84,11,7.88,1048,37.52,3574,1338.58,82,85.42,175,5833.33,0.56,0.03,states,561.14,26.0,2020-04-26,District of Columbia,
3126,54,,18496.0,Apr_26_2020,2732.0,228,7.87,31,3.85,1653,112.22,3024,2964.71,26,92.86,52,2600.0,0.16,0.0,states,164.12,2.84,2020-04-26,Nebraska,
4034,120,317.0,15215.0,Apr_26_2020,4034.0,458,12.81,10,7.14,1496,58.94,3869,2344.85,53,79.1,118,5900.0,0.42,0.01,states,424.86,12.64,2020-04-26,Delaware,
25269,1925,1766.0,54542.0,Apr_26_2020,25269.0,687,2.79,09,3.38,7307,40.68,23978,1857.32,798,70.81,1898,7029.63,0.71,0.05,states,705.54,53.75,2020-04-26,Connecticut,
448,14,11.0,12414.0,Apr_26_2020,448.0,3,0.67,30,0.0,15,3.46,327,270.25,4,40.0,13,1300.0,0.04,0.0,states,43.01,1.34,2020-04-26,Montana,
1015,50,39.0,16784.0,Apr_26_2020,1015.0,25,2.53,23,0.0,148,17.07,847,504.17,16,47.06,49,4900.0,0.08,0.0,states,76.15,3.75,2020-04-26,Maine,
26832,1729,1701.0,116263.0,Apr_26_2020,26773.0,261,0.98,22,1.53,2904,12.14,24086,877.13,433,33.41,1610,1352.94,0.58,0.04,states,575.35,37.07,2020-04-26,Louisiana,
13440,678,1046.0,46823.0,Apr_26_2020,12968.0,473,3.65,08,1.19,3710,38.13,11705,674.64,257,61.05,647,2087.1,0.24,0.01,states,242.99,12.26,2020-04-26,Colorado,
13744,757,508.0,169749.0,Apr_26_2020,15292.0,179,1.32,53,1.88,1880,15.85,9974,264.56,120,18.84,578,322.91,0.19,0.01,states,188.42,10.38,2020-04-26,Washington,
43691,1716,4928.0,483920.0,Apr_26_2020,42164.0,1101,2.59,06,1.42,12147,38.51,38776,788.93,540,45.92,1612,1550.0,0.11,0.0,states,111.6,4.38,2020-04-26,California,
6997,282,679.0,62751.0,Apr_26_2020,6997.0,171,2.51,29,0.71,1330,23.47,6327,944.33,86,43.88,273,3033.33,0.11,0.0,states,114.89,4.63,2020-04-26,Missouri,
54938,2899,3879.0,181162.0,Apr_26_2020,54938.0,1590,2.98,25,6.19,16861,44.28,51698,1595.62,1193,69.93,2864,8182.86,0.8,0.04,states,804.34,42.44,2020-04-26,Massachusetts,
1054,34,100.0,38019.0,Apr_26_2020,1044.0,29,2.83,54,3.03,164,18.43,958,997.92,14,70.0,34,,0.06,0.0,states,57.63,1.86,2020-04-26,West Virginia,
38003,3314,2757.0,134431.0,Apr_26_2020,43789.0,701,1.88,26,1.25,6654,21.23,34348,939.75,925,38.72,3221,3463.44,0.38,0.03,states,381.65,33.28,2020-04-26,Michigan,
5911,274,337.0,59235.0,Apr_26_2020,6963.0,224,3.94,55,3.01,1565,36.01,4981,535.59,52,23.42,258,1612.5,0.1,0.0,states,102.29,4.74,2020-04-26,Wisconsin,
3001,50,104.0,36528.0,Apr_26_2020,2941.0,92,3.16,05,4.17,1220,68.5,2616,679.48,11,28.21,47,1566.67,0.1,0.0,states,100.35,1.67,2020-04-26,Arkansas,
6526,277,671.0,58285.0,Apr_26_2020,6526.0,246,3.92,04,0.73,1597,32.4,5861,881.35,89,47.34,262,1746.67,0.09,0.0,states,93.94,3.99,2020-04-26,Arizona,
18664,910,1463.0,78084.0,Apr_26_2020,18581.0,820,4.6,24,4.0,5772,44.77,17874,2262.53,362,66.06,905,18100.0,0.31,0.02,states,310.89,15.16,2020-04-26,Maryland,
4638,206,,33584.0,Apr_26_2020,4602.0,99,2.18,32,0.0,928,25.01,4017,646.86,48,30.38,196,1960.0,0.16,0.01,states,158.68,7.05,2020-04-26,Nevada,
4123,41,,91579.0,Apr_26_2020,4123.0,173,4.38,49,0.0,1052,34.26,3643,758.96,14,51.85,39,1950.0,0.14,0.0,states,135.39,1.35,2020-04-26,Utah,
1864,60,95.0,16964.0,Apr_26_2020,1787.0,71,3.96,33,0.0,472,33.91,1677,896.79,19,46.34,58,2900.0,0.14,0.0,states,138.73,4.47,2020-04-26,New Hampshire,
15187,928,1446.0,66696.0,Apr_26_2020,15012.0,620,4.26,18,3.46,3886,34.39,14195,1430.95,276,42.33,896,2800.0,0.23,0.01,states,228.81,13.98,2020-04-26,Indiana,
2311,91,249.0,46653.0,Apr_26_2020,2311.0,58,2.57,41,4.6,401,20.99,1896,456.87,17,22.97,79,658.33,0.06,0.0,states,56.62,2.23,2020-04-26,Oregon,
7439,226,258.0,42746.0,Apr_26_2020,7769.0,310,4.35,44,5.12,2733,58.07,7236,3564.53,76,50.67,226,,0.7,0.02,states,704.04,21.39,2020-04-26,Rhode Island,
5490,174,,45271.0,Apr_26_2020,5490.0,237,4.51,45,4.82,1113,25.43,4948,912.92,54,45.0,161,1238.46,0.11,0.0,states,110.78,3.51,2020-04-26,South Carolina,
3253,195,306.0,49891.0,Apr_26_2020,3253.0,60,1.88,40,0.52,654,25.16,2931,910.25,55,39.29,187,2337.5,0.08,0.0,states,83.02,4.98,2020-04-26,Oklahoma,
43903,1943,4595.0,171049.0,Apr_26_2020,43903.0,2126,5.09,17,3.13,13546,44.62,40874,1349.42,641,49.23,1906,5151.35,0.34,0.02,states,342.42,15.15,2020-04-26,Illinois,
2213,11,64.0,14062.0,Apr_26_2020,2212.0,66,3.07,46,10.0,578,35.35,2155,3715.52,4,57.14,10,1000.0,0.26,0.0,states,256.05,1.27,2020-04-26,South Dakota,
5490,118,286.0,30614.0,Apr_26_2020,5476.0,381,7.46,19,5.36,2575,88.34,5254,2226.27,43,57.33,115,3833.33,0.18,0.0,states,175.26,3.77,2020-04-26,Iowa,
1897,56,38.0,17611.0,Apr_26_2020,1887.0,10,0.53,16,0.0,225,13.46,1665,717.67,11,24.44,52,1300.0,0.11,0.0,states,112.39,3.32,2020-04-26,Idaho,
9435,182,568.0,137807.0,Apr_26_2020,9667.0,517,5.8,47,1.68,2611,38.26,8255,699.58,31,20.53,176,2933.33,0.14,0.0,states,141.86,2.74,2020-04-26,Tennessee,
599,14,,27880.0,Apr_26_2020,603.0,2,0.34,15,0.0,25,4.36,479,399.17,4,40.0,14,,0.04,0.0,states,42.12,0.98,2020-04-26,Hawaii,
15963,728,,100423.0,Apr_26_2020,15963.0,376,2.41,39,2.39,4361,37.59,14819,1295.37,257,54.56,706,3209.09,0.14,0.01,states,137.12,6.25,2020-04-26,Ohio,
867,17,18.0,19850.0,Apr_26_2020,867.0,64,7.97,38,6.25,282,48.21,799,1175.0,7,70.0,16,1600.0,0.12,0.0,states,115.26,2.26,2020-04-26,North Dakota,
3198,120,,23053.0,Apr_26_2020,3174.0,107,3.46,20,0.84,1301,68.58,2985,1401.41,26,27.66,116,2900.0,0.11,0.0,states,109.94,4.13,2020-04-26,Kansas,
25209,676,1542.0,251390.0,Apr_26_2020,24631.0,715,2.92,48,2.11,5768,29.67,23238,1179.0,173,34.39,651,2604.0,0.09,0.0,states,90.4,2.42,2020-04-26,Texas,
8830,309,451.0,99064.0,Apr_26_2020,8830.0,282,3.3,37,1.64,2337,35.99,8046,1026.28,126,68.85,306,10200.0,0.09,0.0,states,86.95,3.04,2020-04-26,North Carolina,
4074,211,301.0,42653.0,Apr_26_2020,3905.0,169,4.33,21,1.44,1114,37.64,3772,1249.01,62,41.61,203,2537.5,0.09,0.0,states,91.75,4.75,2020-04-26,Kentucky,
292914,21804,12839.0,517305.0,Apr_26_2020,288045.0,6013,2.1,36,2.24,46173,18.71,248168,554.61,4011,22.54,21159,3280.47,1.49,0.11,states,1493.05,111.14,2020-04-26,New York,
22459,907,,99822.0,Apr_26_2020,23401.0,234,1.05,13,1.11,4840,27.47,20261,921.79,225,32.99,843,1317.19,0.22,0.01,states,218.1,8.81,2020-04-26,Georgia,
2728,99,152.0,51075.0,Apr_26_2020,2660.0,66,2.48,35,6.45,883,47.86,2537,1328.27,44,80.0,98,9800.0,0.13,0.0,states,130.37,4.73,2020-04-26,New Mexico,
109038,5938,6573.0,114106.0,Apr_26_2020,109038.0,3515,3.33,34,1.28,23737,27.83,100213,1135.56,1736,41.31,5830,5398.15,1.23,0.07,states,1227.65,66.86,2020-04-26,New Jersey,
5911,227,644.0,54877.0,Apr_26_2020,5911.0,193,3.38,28,2.71,1637,38.3,5332,920.9,68,42.77,219,2737.5,0.2,0.01,states,197.77,7.6,2020-04-26,Mississippi,
339,7,14.0,15836.0,Apr_26_2020,341.0,2,0.59,02,0.0,22,6.94,254,298.82,0,0.0,6,600.0,0.05,0.0,states,45.9,0.95,2020-04-26,Alaska,
42709,1871,2736.0,157428.0,Apr_26_2020,41165.0,1083,2.6,42,1.57,9717,29.45,40492,1826.43,586,45.6,1848,8034.78,0.33,0.01,states,333.89,14.63,2020-04-26,Pennsylvania,
3602,272,285.0,59161.0,Apr_26_2020,5512.0,156,4.53,27,11.48,1246,52.89,3204,805.03,138,102.99,268,6700.0,0.07,0.0,states,65.17,4.92,2020-04-26,Minnesota,
