A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
3008,80,350.0,18058.0,Apr_10_2020,2968.0,170,5.99,01,2.56,1473,95.96,0,,42,110.53,0,,0.06,0.0,states,61.83,1.64,2020-04-10,Alabama,
11,2,,27.0,Apr_10_2020,11.0,0,0.0,69,0.0,3,37.5,0,,1,100.0,0,,,,states,,,2020-04-10,Northern Mariana Islands,
577,4,14.0,662.0,Apr_10_2020,130.0,35,6.46,66,0.0,423,274.68,0,,0,0.0,0,,,,states,,,2020-04-10,Guam,
320,0,,4736.0,Apr_10_2020,253.0,17,5.61,56,0.0,153,91.62,319,31900.0,0,,0,,0.05,0.0,states,55.0,0.0,2020-04-10,Wyoming,
1335,57,143.0,35346.0,Apr_10_2020,1732.0,93,7.49,27,14.0,546,69.2,1330,26600.0,35,159.09,57,,0.02,0.0,states,24.15,1.03,2020-04-10,Minnesota,
725,39,,5121.0,Apr_10_2020,725.0,42,6.15,72,18.18,347,91.8,0,,24,160.0,0,,0.02,0.0,states,21.41,1.15,2020-04-10,Puerto Rico,
1778,47,,8261.0,Apr_11_2020,1778.0,118,7.11,11,23.68,876,97.12,1768,17680.0,26,123.81,47,,0.26,0.01,states,259.75,6.87,2020-04-11,District of Columbia,
1868,93,383.0,20790.0,Apr_11_2020,1868.0,74,4.12,40,5.68,709,61.17,1866,93300.0,51,121.43,93,,0.05,0.0,states,47.68,2.37,2020-04-11,Oklahoma,
711,24,77.0,8063.0,Apr_11_2020,733.0,32,4.71,50,0.0,250,54.23,709,35450.0,4,20.0,24,,0.11,0.0,states,113.76,3.84,2020-04-11,Vermont,
3213,141,444.0,34680.0,Apr_11_2020,3822.0,145,4.73,55,7.63,1101,52.13,3205,40062.5,81,135.0,141,,0.06,0.0,states,55.6,2.44,2020-04-11,Wisconsin,
1228,25,86.0,17352.0,Apr_11_2020,1226.0,26,2.16,05,4.17,485,65.28,1222,20366.67,11,78.57,25,,0.04,0.0,states,41.06,0.84,2020-04-11,Arkansas,
3207,80,,26886.0,Apr_11_2020,3207.0,142,4.63,45,11.11,1290,67.29,3195,26625.0,40,100.0,80,,0.06,0.0,states,64.71,1.61,2020-04-11,South Carolina,
4310,86,362.0,56081.0,Apr_11_2020,4312.0,404,10.34,37,10.26,1908,79.43,4294,26837.5,56,186.67,86,,0.04,0.0,states,42.44,0.85,2020-04-11,North Carolina,
18978,445,,154439.0,Apr_11_2020,18494.0,1018,5.67,12,6.46,7441,64.5,18932,41156.52,251,129.38,443,22150.0,0.09,0.0,states,92.13,2.16,2020-04-11,Florida,
2349,56,183.0,17130.0,Apr_11_2020,2853.0,334,16.58,44,14.29,1543,191.44,2344,46880.0,39,229.41,56,,0.22,0.01,states,222.31,5.3,2020-04-11,Rhode Island,
2642,93,,18632.0,Apr_11_2020,2642.0,173,7.01,28,13.41,1187,81.58,2641,264100.0,58,165.71,93,,0.09,0.0,states,88.4,3.11,2020-04-11,Mississippi,
3393,112,,37137.0,Apr_11_2020,3393.0,281,9.03,04,15.46,1374,68.05,3384,37600.0,59,111.32,112,,0.05,0.0,states,48.84,1.61,2020-04-11,Arizona,
23855,1395,3636.0,62241.0,Apr_11_2020,30980.0,1209,5.34,26,8.98,9630,67.7,23843,198691.67,854,157.86,1395,,0.24,0.01,states,239.57,14.01,2020-04-11,Michigan,
2720,111,282.0,20887.0,Apr_11_2020,2700.0,114,4.37,32,29.07,962,54.72,2709,24627.27,65,141.3,111,,0.09,0.0,states,93.06,3.8,2020-04-11,Nevada,
19180,682,3680.0,72969.0,Apr_11_2020,19180.0,1293,7.23,17,12.36,8823,85.19,19148,59837.5,434,175.0,682,,0.15,0.01,states,149.59,5.32,2020-04-11,Illinois,
255,6,,7475.0,Apr_11_2020,257.0,11,4.51,02,20.0,86,50.89,254,25400.0,3,100.0,6,,0.03,0.0,states,34.53,0.81,2020-04-11,Alaska,
2208,18,,40340.0,Apr_11_2020,2206.0,105,4.99,49,5.88,782,54.84,2201,31442.86,10,125.0,18,,0.07,0.0,states,72.5,0.59,2020-04-11,Utah,
929,23,,9608.0,Apr_11_2020,885.0,44,4.97,33,4.55,308,49.6,923,15383.33,14,155.56,23,,0.07,0.0,states,69.14,1.71,2020-04-11,New Hampshire,
5076,130,1252.0,32922.0,Apr_11_2020,5077.0,567,12.57,51,7.44,2668,110.8,5059,29758.82,78,150.0,130,,0.06,0.0,states,60.33,1.55,2020-04-11,Virginia,
22860,686,2507.0,86115.0,Apr_11_2020,22766.0,1886,8.99,25,14.52,11124,94.79,22752,21066.67,470,217.59,686,,0.33,0.01,states,334.69,10.04,2020-04-11,Massachusetts,
20014,806,2067.0,76901.0,Apr_11_2020,20014.0,761,3.95,22,6.75,7514,60.11,20000,142857.14,394,95.63,806,,0.43,0.02,states,429.15,17.28,2020-04-11,Louisiana,
718,18,,9285.0,Apr_11_2020,700.0,40,5.9,31,0.0,379,111.8,694,2891.67,10,125.0,18,,0.04,0.0,states,37.7,0.95,2020-04-11,Nebraska,
616,19,,6088.0,Apr_11_2020,616.0,30,5.12,23,11.76,160,35.09,615,61500.0,9,90.0,19,,0.05,0.0,states,46.22,1.43,2020-04-11,Maine,
293,7,10.0,9787.0,Apr_11_2020,293.0,15,5.4,38,0.0,107,57.53,292,29200.0,4,133.33,7,,0.04,0.0,states,38.95,0.93,2020-04-11,North Dakota,
6251,247,,54221.0,Apr_11_2020,6250.0,372,6.33,39,6.93,2512,67.18,6246,124920.0,145,142.16,247,,0.05,0.0,states,53.69,2.12,2020-04-11,Ohio,
10227,498,649.0,118957.0,Apr_11_2020,11605.0,339,3.43,53,3.11,2728,36.38,9808,2340.81,180,56.6,466,1456.25,0.14,0.01,states,140.2,6.83,2020-04-11,Washington,
4983,107,411.0,61714.0,Apr_11_2020,5114.0,190,3.96,47,2.88,1718,52.62,4965,27583.33,60,127.66,107,,0.07,0.0,states,74.92,1.61,2020-04-11,Tennessee,
1510,34,118.0,15622.0,Apr_11_2020,1510.0,122,8.79,19,9.68,724,92.11,1494,9337.5,23,209.09,34,,0.05,0.0,states,48.2,1.09,2020-04-11,Iowa,
7694,207,,39544.0,Apr_11_2020,7694.0,726,10.42,24,20.35,4569,146.21,7681,59084.62,153,283.33,207,,0.13,0.0,states,128.16,3.45,2020-04-11,Maryland,
377,6,21.0,8204.0,Apr_11_2020,377.0,12,3.29,30,0.0,96,34.16,0,,0,0.0,0,,0.04,0.0,states,36.19,0.58,2020-04-11,Montana,
